 
 
 ! The solution file is: GTAP_Files\SaveSims\coal01
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG:Lin+Lev) of size 9x4
 
 psave(REG:Lin+Lev),Linear         ,PreLevel       ,PostLevel      ,Changes        ,
 Gas         , 6.57405471E-05, 1.15602359E-03, 1.82904601E-02, 5.95858973E-10, 3.86484643E-03, 2.90617477E-02, 5.11000753E-09, 0.19762546    , 6.32828400E-02,
 Oil_pcts    , 3.66154680E-04, 1.09306639E-02, 0.35702106    , 1.22963625E-04, 5.04718460E-02,  2.2051828    , 2.74549402E-05, 0.65609175    ,  2.8591168    ,
 Electricity , 4.65354737E-04, 1.82924848E-02, 9.87082645E-02, 1.57768212E-04, 6.52716681E-02, 0.10430910    , 8.00641719E-05, 0.61358500    ,  1.4492850    ,
 En_Int_ind  ,  2.7210431    ,  18195.016    ,  192.23517    ,  16.572575    ,  1286.2534    ,  4545.8735    , 0.36864945    ,  2046.8473    ,  1305.4021    ,
 Oth_ind_ser ,  2258342.2    ,  3423758.2    ,  327110.25    ,  787192.12    ,  580652.38    ,  445009.03    ,  474784.12    ,  125526.31    ,  952224.12    ,
 
 ! The matrix qgd(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qgd(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-8.94069672E-07,-9.91821289E-05, 1.22070312E-02,-5.81145287E-07, 2.74658203E-04, 1.03759766E-03, 1.49011612E-07,-1.22070312E-04,-1.95312500E-03,
 Coal        , 3.64980224E-09, 2.91038305E-09, 2.84984708E-07,-2.55795385E-13,-2.68220901E-07, 1.37515599E-09,-2.50111043E-12,-9.12696123E-08,-1.02445483E-06,
 Oil         ,-1.16415322E-09,-1.39698386E-08,-4.93600965E-08,-4.63842298E-11,-4.09781933E-07,-3.39001417E-07,-2.22826202E-11,-1.78988557E-09,-1.45286322E-07,
 Gas         ,-2.10202415E-08, 7.82310963E-08, 7.45058060E-09, 1.23623334E-13, 8.31205398E-08, 2.79396772E-07, 6.68798350E-13, 1.63763762E-05,-1.71363354E-07,
 Oil_pcts    ,-7.82893039E-09,-1.35041773E-07,-3.57627869E-07,-1.77533366E-09,-6.18398190E-07,-5.00679016E-06,-1.96450856E-10,-9.00030136E-06,-3.29017639E-05,
 Electricity , 2.44472176E-08, 7.07805157E-08, 6.10947609E-07, 2.91038305E-11, 2.23517418E-07, 6.33299351E-07, 2.98314262E-10, 1.90734863E-06, 4.17232513E-06,
 En_Int_ind  , 1.62124634E-05,-2.73437500E-02,-8.69750977E-04,-7.43865967E-05,-5.00488281E-03,-7.81250000E-03,-5.96046448E-08,-7.69042969E-03,-3.41796875E-03,
 Oth_ind_ser , -5.0000000    , -1.7500000    ,  1.6250000    ,-0.87500000    ,  1.0000000    ,  2.0625000    ,-0.31250000    ,-0.15625000    ,  0.0000000    ,
 
 
 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG:Lin+Lev) of size 14x9x4
 
 ! (This array is shown as 4 matrices - each of size 14x9.)
 
 ! The matrix pm(%1:%2:"Linear") with %1 in NSAV_COMM and %2 in REG. +++++++++
 pm(NSAV_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        , 1.35131646E-03,-2.71035387E-05,-1.94971260E-04,-1.28070838E-04,-1.80497195E-03,-6.19015598E-04,-2.93174351E-04,-5.05586853E-04,-3.98370001E-04,
 Unsklab     ,-7.22519180E-04,-6.00699495E-05, 5.26131538E-04,-2.43759830E-04, 1.00414800E-04, 2.77760235E-04,-5.34436767E-05,-1.42649529E-04,-3.40431461E-06,
 Sklab       ,-6.95259514E-05,-5.47602103E-05, 5.86031703E-04,-2.44432129E-04, 1.21499201E-04, 2.72551319E-04,-7.66913072E-05,-1.46102742E-04,-3.35419427E-05,
 capital     , 5.44308219E-04,-1.29054330E-04, 6.84805738E-04,-3.70821625E-04, 5.36780979E-04, 5.70745789E-04,-1.13356167E-04,-2.33941377E-04,-1.10744179E-04,
 NatRes      ,-3.90568636E-02, 4.08864766E-03, 5.39989583E-03, 4.41641401E-04, 7.87918177E-03, 6.75704889E-03, 1.86379126E-03, 2.91884877E-03, 7.83660449E-03,
 Agr         ,-1.82218311E-04, 9.83442806E-05, 5.13358333E-04,-2.97555271E-05, 3.43569263E-04, 3.47484631E-04,-1.24761686E-06,-1.40198943E-04, 1.43271041E-04,
 Coal        ,-6.03554472E-02,-4.09637287E-04, 3.01947817E-04,-2.79491680E-04,-2.03380259E-04,-3.09241889E-03, 7.44334393E-05,-6.43203384E-06,-2.62859539E-04,
 Oil         ,-6.45421387E-04, 1.60126318E-03, 1.92503911E-03, 9.56625270E-04, 2.56519159E-03, 2.38136761E-03, 9.97685012E-04, 1.21984747E-03, 2.16521346E-03,
 Gas         , 6.29195012E-03, 9.58394725E-04, 1.32180715E-03,-1.91412037E-04, 3.21176089E-03, 1.65488676E-03, 9.66677733E-04, 2.98614526E-04, 1.52503920E-03,
